airtable_record_id,reason,tool_description,product_id,vendor,linked_state,airtable_url
reccJBwWOhljjzDVj,AMBIGUOUS_multiple_arda_items,1571NS,61050004,MA Ford,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/reccJBwWOhljjzDVj
receDKIkngka9IJsf,AMBIGUOUS_multiple_arda_items,"02 MRTL Side Lock, .5"" Dia",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/receDKIkngka9IJsf
receOSvrXP6O6DlqD,AMBIGUOUS_multiple_arda_items,84 NT ER32 62mm GAGE,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/receOSvrXP6O6DlqD
recetvyJ6P9dgiJNg,AMBIGUOUS_multiple_arda_items,1571NS,61050004,MA Ford,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recetvyJ6P9dgiJNg
recoom4L8TQ0uBWdB,AMBIGUOUS_multiple_arda_items,9.46 degree chamfer mill,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recoom4L8TQ0uBWdB
recotDDJjdgpO7HTg,AMBIGUOUS_multiple_arda_items,"01 MRTL Sidelock, .375 Gage",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recotDDJjdgpO7HTg
recqBdsIPYCxoOSAT,AMBIGUOUS_multiple_arda_items,15.95 degree chamfer mill,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recqBdsIPYCxoOSAT
recqKRswDCzOzonSh,AMBIGUOUS_multiple_arda_items,"13 MRTL Shrink .125 x 3"" GAGE",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recqKRswDCzOzonSh
recuWsld9iTyJO4LY,AMBIGUOUS_multiple_arda_items,0301NS,65848053,Accupro,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recuWsld9iTyJO4LY
recxkmzIunUhNZUbL,AMBIGUOUS_multiple_arda_items,"55 Techniks ER16, 70mm gauge Length",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recxkmzIunUhNZUbL
recz4efxwMl6XHc3f,AMBIGUOUS_multiple_arda_items,"15 MRTL Shrink .375 x 2.25"" GAGE",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recz4efxwMl6XHc3f
reczAtNJUpUhOXYhz,AMBIGUOUS_multiple_arda_items,"56 NT ER16, 60mm GAGE",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/reczAtNJUpUhOXYhz
rec0tjuSf1iwHmYM6,NO_ARDA_ITEM_WITH_THAT_NAME,0108,50430560,MSC,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec0tjuSf1iwHmYM6
rec1tDnHfacqxEbiG,NO_ARDA_ITEM_WITH_THAT_NAME,PG15 X 120mm,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec1tDnHfacqxEbiG
rec2Bo0gjH2FhIQRV,NO_ARDA_ITEM_WITH_THAT_NAME,CTC tools,,cuttingtoolcontrol@msn.com,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec2Bo0gjH2FhIQRV
rec5Tj3syfHJQ9yhU,NO_ARDA_ITEM_WITH_THAT_NAME,1682NS,70647599,MSC,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec5Tj3syfHJQ9yhU
rec6w340Gn61tfnEi,NO_ARDA_ITEM_WITH_THAT_NAME,0106S,,Korloy,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec6w340Gn61tfnEi
rec9LJIw9r9qD8bLk,NO_ARDA_ITEM_WITH_THAT_NAME,1522NS,9005520067500,Guhring,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec9LJIw9r9qD8bLk
recBw7QMjblejJnBo,NO_ARDA_ITEM_WITH_THAT_NAME,3011NS,49247257,MSC,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recBw7QMjblejJnBo
recFP4YV4QzHujasB,NO_ARDA_ITEM_WITH_THAT_NAME,0233NS,P98304252,Fraisa,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recFP4YV4QzHujasB
recM8Qt49VcPDdsk2,NO_ARDA_ITEM_WITH_THAT_NAME,1685NS PLACEHOLDER,2.CD.150100.CA,CTC,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recM8Qt49VcPDdsk2
recStDnODsG42o44k,NO_ARDA_ITEM_WITH_THAT_NAME,1534NS,9024630034500,Guhring,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recStDnODsG42o44k
recUTiMSXFQ3Xlm5l,NO_ARDA_ITEM_WITH_THAT_NAME,1934NS,1214205,OSG,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recUTiMSXFQ3Xlm5l
recaOKDwko6KAbQqJ,NO_ARDA_ITEM_WITH_THAT_NAME,0273NS,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recaOKDwko6KAbQqJ
reccC8uPLUm0uv0Tz,NO_ARDA_ITEM_WITH_THAT_NAME,"57 Techniks ER16, 120mm GAGE",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/reccC8uPLUm0uv0Tz
recdjgwdtWRMkmv3L,NO_ARDA_ITEM_WITH_THAT_NAME,Western tools,,Chris_Gundersen@westtool.com,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recdjgwdtWRMkmv3L
rechK89RDrDkezVtd,NO_ARDA_ITEM_WITH_THAT_NAME,Scan tools,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rechK89RDrDkezVtd
recsxw9DNZTURniXs,NO_ARDA_ITEM_WITH_THAT_NAME,0101S,,Big Daishowa,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recsxw9DNZTURniXs
rectMnwISaaOymgOn,NO_ARDA_ITEM_WITH_THAT_NAME,"13 MRTL Shrink .125 x 4"" GAGE",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rectMnwISaaOymgOn
rec4YvPgBiFfelwJ2,NO_ARDA_ITEM_WITH_THAT_NAME,MRTL Shrink .125 x 2.25,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec4YvPgBiFfelwJ2
rec4mIbs9u5pDh3Yc,NO_ARDA_ITEM_WITH_THAT_NAME,MRTL Shrink .375 x 2.25,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec4mIbs9u5pDh3Yc
recAjUyupOjNuTPJF,NO_ARDA_ITEM_WITH_THAT_NAME,MRTL Shrink .250 x 3,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recAjUyupOjNuTPJF
recFO7ilAtQQarxRv,NO_ARDA_ITEM_WITH_THAT_NAME,MRTL ER16 x 60MM,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recFO7ilAtQQarxRv
recGKnS0bF6rpufcU,NO_ARDA_ITEM_WITH_THAT_NAME,Haimer Shrink 6mm x 80mm,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recGKnS0bF6rpufcU
recHHPH4cfEO60WwF,NO_ARDA_ITEM_WITH_THAT_NAME,Techniks ER16 x 120mm GAGE,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recHHPH4cfEO60WwF
recOigiVAEKR75scb,NO_ARDA_ITEM_WITH_THAT_NAME,"MRTL Side Lock, .5"" Dia",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recOigiVAEKR75scb
recQBEEgEHwkGVcpL,NO_ARDA_ITEM_WITH_THAT_NAME,"MRTL Shrink, .375 x 3",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recQBEEgEHwkGVcpL
recQV2i64M8qSJ9LO,NO_ARDA_ITEM_WITH_THAT_NAME,MRTL Shrink .5 x 2.25,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recQV2i64M8qSJ9LO
recRx6YMLyy1JTRcc,NO_ARDA_ITEM_WITH_THAT_NAME,YG1 Shrink .1875 x 2.36,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recRx6YMLyy1JTRcc
recRzMHUs2n5BrDsX,NO_ARDA_ITEM_WITH_THAT_NAME,"MRTL Sidelock, .375",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recRzMHUs2n5BrDsX
recSZnNGYg7JG6dVP,NO_ARDA_ITEM_WITH_THAT_NAME,Haimer Shrinnk 10mm x 80mm,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recSZnNGYg7JG6dVP
recUN79Dno17zIWVb,NO_ARDA_ITEM_WITH_THAT_NAME,MRTL Shrink .250 x 2.25,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recUN79Dno17zIWVb
recbigzqdi1LxIxwJ,NO_ARDA_ITEM_WITH_THAT_NAME,MRTL ER32 x 60mm,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recbigzqdi1LxIxwJ
reccaKjqZIlnjcdNF,NO_ARDA_ITEM_WITH_THAT_NAME,GENERIC ER16,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/reccaKjqZIlnjcdNF
recdAIornqlylmy6X,NO_ARDA_ITEM_WITH_THAT_NAME,MRTL Shrink .1875 x 3,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recdAIornqlylmy6X
recdjrMLkOr1Jsqbh,NO_ARDA_ITEM_WITH_THAT_NAME,MRTL Shrink .125 x 3,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recdjrMLkOr1Jsqbh
recgHbTmgcdWgTItV,NO_ARDA_ITEM_WITH_THAT_NAME,NT ER16 x 100mm,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recgHbTmgcdWgTItV
reciHGsoZwdotXVGa,NO_ARDA_ITEM_WITH_THAT_NAME,"MRTL Shrink, .375x3""",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/reciHGsoZwdotXVGa
recjYDnp92Yyousmr,NO_ARDA_ITEM_WITH_THAT_NAME,NT ER32 x 62mm,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recjYDnp92Yyousmr
reck07vXL9dSyOBxb,NO_ARDA_ITEM_WITH_THAT_NAME,MRTL ER32 x 52mm,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/reck07vXL9dSyOBxb
recm2YcW42f5bm433,NO_ARDA_ITEM_WITH_THAT_NAME,GENERIC ER32,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recm2YcW42f5bm433
rectbpt7Vt0X004DB,NO_ARDA_ITEM_WITH_THAT_NAME,MRTL Side Lock .75 Dia,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rectbpt7Vt0X004DB
rectcLmhW3le0THE8,NO_ARDA_ITEM_WITH_THAT_NAME,MRTL Hydro .500 x 1.9,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rectcLmhW3le0THE8
recv4RnlvCOVDeA43,NO_ARDA_ITEM_WITH_THAT_NAME,NT ER16 x 60mm,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recv4RnlvCOVDeA43
recvsjRnD99Q66GIL,NO_ARDA_ITEM_WITH_THAT_NAME,MRTL Shrink .125 x 4,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recvsjRnD99Q66GIL
recynyneyznr6l1xH,NO_ARDA_ITEM_WITH_THAT_NAME,Techniks ER16 x 70mm,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recynyneyznr6l1xH
reczw03fqe9Jgup6W,NO_ARDA_ITEM_WITH_THAT_NAME,YG1 Shrink .125 x 2.36,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/reczw03fqe9Jgup6W
rec2jHbKJGHA74lh5,NO_ARDA_ITEM_WITH_THAT_NAME,"BU114 .046"" OD Groove",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec2jHbKJGHA74lh5
reci7Mt1tMvZwY1nb,NO_ARDA_ITEM_WITH_THAT_NAME,,DGE433084,YG1,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/reci7Mt1tMvZwY1nb
recs1LTUaHP8ab6Fq,NO_ARDA_ITEM_WITH_THAT_NAME,3012NS,2919A59,McMaster Carr,UNLINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recs1LTUaHP8ab6Fq
rec8F7GXroDDzwTuQ,NO_ARDA_ITEM_WITH_THAT_NAME,3013NS,1023-.500,Maritool,UNLINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec8F7GXroDDzwTuQ
recyxtVGMGJPMnZUe,NO_ARDA_ITEM_WITH_THAT_NAME,3014NS,89901,YG1,UNLINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recyxtVGMGJPMnZUe
recGSQPFAgmtJe4xZ,NO_ARDA_ITEM_WITH_THAT_NAME,CoolSpeed Flex in ER32,,,UNLINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recGSQPFAgmtJe4xZ
recLy1fPRNtJlTVX2,NO_ARDA_ITEM_WITH_THAT_NAME,Extention Holder For Port Tool,,Lichen Precision,UNLINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recLy1fPRNtJlTVX2
recmQ5rPnfRIaRks4,NO_ARDA_ITEM_WITH_THAT_NAME,O2014,70694948,MSC,UNLINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recmQ5rPnfRIaRks4
recPyWrc8SSUSDQyZ,NO_ARDA_ITEM_WITH_THAT_NAME,PG10 X 120mm (do not have yet),,,UNLINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recPyWrc8SSUSDQyZ
